,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,FIT,1411,4150,2,29.4,-0.4,0.4,27.1,0.0,0.013,0.007,0.7,,,,4.8,4.4,0.283,,0.008,0.2,5.5,-0.147,0.034,-0.765,0.112,2.735,0.03,50.9,45.0
1,BCG,3420,6410,2,10.0,-0.2,0.5,20.5,0.0,0.066,0.008,-0.2,,,,1.6,1.3,0.108,,,1.1,12.1,0.907,0.179,,0.038,1.186,1.8,44.2,24.0
2,OGC,2463,8210,2,62.0,-0.9,5.6,15.6,0.0,0.076,0.012,-3.1,,,,1.7,1.5,0.329,,,0.1,0.9,,-0.023,,-0.722,-0.851,1.0,53.8,56.0
3,TVC,557,4700,1,-1.6,0.0,0.4,45.8,0.0,-0.213,-0.111,-1.7,,,,10.8,10.8,,,,0.1,29.5,,0.436,,-0.199,-1.068,-0.54,45.6,58.0
4,IBC,210,2530,-1,-2.3,0.0,0.2,12.8,0.0,-0.101,-0.02,1.1,,,,1.4,1.4,,,,1.3,10.0,,0.195,,,0.093,0.05,33.5,3.0
