,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,HTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HTM,3145,14300,0,-140.7,-0.2,1.4,-18650.0,0.0,-0.01,-0.007,-0.6,,,,3.2,3.0,0.323,,,0.2,-2532.5,,-0.372,,0.085,-0.981,-0.4,42.8,51.0
2,BTT,473,35000,0,19.5,0.0,1.3,11.0,0.0,0.067,0.051,,,,,4.8,3.8,0.525,,0.14,0.0,0.0,-0.089,-0.146,-0.213,0.176,1.127,0.05,52.4,80.0
3,KGM,203,8000,0,39.3,-0.6,0.8,10.5,0.0,0.019,0.005,3.1,,,,1.1,0.8,0.163,,0.0,2.4,8.3,-0.298,0.059,-0.851,0.317,0.87,0.01,41.6,
4,CMV,180,9890,1,7.5,-0.6,0.7,16.0,0.0,0.098,0.05,-0.8,,,,1.6,0.7,0.043,,0.002,0.5,7.0,0.012,0.011,0.494,0.038,0.743,0.055,56.7,50.0
5,PIT,63,4420,1,19.9,-0.1,0.5,8.7,0.0,0.027,0.011,0.9,,,,1.3,0.7,0.122,,,1.1,6.1,,-0.178,,0.094,,,41.0,64.0
6,THS,37,13700,0,10.7,-1.2,0.9,6.1,0.0,0.086,0.048,5.7,,,,1.5,0.5,0.124,,0.029,0.4,2.0,0.049,-0.014,1.308,0.128,,,1.4,
7,TOP,33,1300,0,-41.8,0.4,0.2,-35.2,0.0,-0.005,-0.005,,,,,10.6,10.6,0.053,,,0.0,0.0,,-0.424,,-0.905,,,24.8,
